Threads,Concurrency,File_k,50th_latency,99th_latency,Throughput
4,20,1,0.27,3.41,48508.05
4,100,1,1.15,7.17,68553.24
4,500,1,3.10,191.82,71181.18
4,1000,1,3.21,227.65,70850.33
10,20,1,0.40,2.67,46291.40
10,100,1,1.29,5.58,69201.68
10,500,1,3.26,193.55,71203.71
10,1000,1,3.35,261.21,71293.20
20,20,1,0.40,0.70,47575.25
20,100,1,1.32,5.20,69058.12
20,500,1,3.25,193.61,71278.39
20,1000,1,3.36,331.89,71354.32
4,20,11,0.55,22.77,21001.83
4,100,11,0.99,17.82,61538.53
4,500,11,2.66,960.69,68761.77
4,1000,11,2.51,12754.69,68288.36
10,20,11,0.36,2.61,48109.53
10,100,11,1.19,15.88,62920.08
10,500,11,2.40,3196.01,70774.97
10,1000,11,1.96,3695.14,70062.00
20,20,11,0.36,0.49,47678.42
20,100,11,1.31,15.76,61602.88
20,500,11,2.10,8103.73,69308.99
20,1000,11,2.14,10645.46,71001.66
4,20,111,1.80,3.36,10342.69
4,100,111,6.50,65.94,10343.49
4,500,111,27.57,1624.76,10336.39
4,1000,111,44.86,2801.03,10332.06
10,20,111,1.82,3.46,10345.02
10,100,111,6.30,71.50,10344.31
10,500,111,45.37,236.99,10343.66
10,1000,111,45.28,3989.05,10336.72
20,20,111,1.82,3.44,10345.23
20,100,111,6.27,75.39,10344.68
20,500,111,44.98,244.26,10346.47
20,1000,111,45.31,3031.09,10350.49
