Threads,Concurrency,File_k,50th_latency,99th_latency,Throughput

4,20,1,0.29,3.47,48570.08
4,100,1,1.32,7.53,59913.39
4,500,1,4.81,160.00,61621.51
4,1000,1,13.06,750.62,36110.47
10,20,1,0.49,2.33,39218.88
10,100,1,1.39,6.77,61486.07
10,500,1,4.87,159.34,61670.89
10,1000,1,13.20,629.65,36391.70
20,20,1,0.38,0.66,47638.30
20,100,1,1.37,6.56,62207.05
20,500,1,4.89,161.31,61697.44
20,1000,1,13.22,618.31,36561.55
4,20,11,0.37,2.93,47414.05
4,100,11,0.83,24.00,53879.72
4,500,11,8.07,16.56,44752.07
4,1000,11,21.26,2552.41,24208.80
10,20,11,0.33,2.65,50143.29
10,100,11,0.83,24.26,55476.76
10,500,11,9.33,17.94,41777.95
10,1000,11,21.10,2182.52,24445.66
20,20,11,0.43,0.57,45145.03
20,100,11,0.88,26.89,51706.23
20,500,11,9.48,18.28,41384.09
20,1000,11,20.84,4045.12,24664.33
4,20,111,1.85,3.14,10343.95
4,100,111,10.04,23.04,9090.63
4,500,111,119.28,310.11,4857.02
4,1000,111,157.74,5834.89,2999.43
10,20,111,1.86,3.24,10344.84
10,100,111,9.97,23.79,9274.28
10,500,111,120.44,302.05,4791.22
10,1000,111,168.53,8088.34,3028.52
20,20,111,1.87,3.29,10332.52
20,100,111,9.96,24.30,9246.77
20,500,111,119.78,300.24,4824.63
20,1000,111,129.50,5824.44,3079.24
