Threads,Concurrency,File_k,50th_latency,99th_latency,Throughput

4,20,1,0.41,3.13,43450.18
4,100,1,1.10,6.87,69903.50
4,500,1,4.43,104.61,71658.23
4,1000,1,10.35,428.88,43110.59
10,20,1,0.40,2.58,46175.21
10,100,1,1.36,5.60,65738.06
10,500,1,4.42,109.17,72093.47
10,1000,1,10.67,439.38,43525.12
20,20,1,0.24,0.52,47370.10
20,100,1,1.08,5.41,73098.12
20,500,1,4.45,105.54,71771.68
20,1000,1,10.70,444.99,43707.49
4,20,11,0.37,3.14,46719.77
4,100,11,1.03,17.84,59421.63
4,500,11,6.56,14.15,54027.11
4,1000,11,12.91,907.24,38795.22
10,20,11,0.28,2.56,51533.16
10,100,11,0.74,17.42,67964.06
10,500,11,7.01,14.71,51817.39
10,1000,11,13.18,491.67,38708.56
20,20,11,0.36,0.49,47790.77
20,100,11,1.26,18.05,61924.32
20,500,11,7.03,14.78,51532.13
20,1000,11,13.29,503.06,38640.13
4,20,111,1.77,4.78,9904.44
4,100,111,11.09,29.03,8188.99
4,500,111,78.73,167.71,7453.13
4,1000,111,81.26,2588.90,7421.19
10,20,111,1.77,5.11,9849.03
10,100,111,11.23,30.61,8351.39
10,500,111,80.20,167.23,7309.84
10,1000,111,81.29,2905.04,7297.92
20,20,111,1.78,5.09,9856.51
20,100,111,11.30,30.51,8337.66
20,500,111,79.95,167.22,7277.40
20,1000,111,81.72,3077.17,7276.50
