Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,30000,11,1.03,2.04,29992.39
20,100,30000,11,1.03,2.03,29992.31
20,100,50000,11,0.97,1.97,49986.36
20,100,50000,11,0.97,1.93,49986.42
20,100,100000,11,1.16,3.39,99970.55
20,100,100000,11,1.16,3.24,99970.29
20,100,150000,11,1.11,4.70,149955.28
20,100,150000,11,1.11,4.57,149944.74
20,100,200000,11,1.07,5.80,199941.08
20,100,200000,11,1.08,6.15,199934.68
20,100,300000,11,517.12,1033.73,291513.87
20,100,300000,11,565.25,1439.74,288851.92
20,100,400000,11,5382.14,8200.19,290676.75
20,100,400000,11,5447.68,8364.03,288345.99
20,100,500000,11,8249.34,12312.58,293481.79
20,100,500000,11,8388.61,12550.14,289915.04
20,100,600000,11,10125.31,15302.66,291887.90
20,100,600000,11,10248.19,15327.23,291582.15
20,100,700000,11,11616.25,17432.58,290684.53
20,100,700000,11,11689.98,17481.73,289591.24
