Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,20000,11,1.01ms,2.04ms,19994.10
20,100,30000,11,1.05ms,2.08ms,29991.48
20,100,50000,11,1.03ms,2.47ms,49986.38
20,100,100000,11,1.30ms,158.59ms,99968.50
20,100,150000,11,5.95s,9.27s,105485.88
20,100,200000,11,9.39s,14.15s,105658.84
20,100,300000,11,12.94s,19.35s,105786.74
20,100,400000,11,14.70s,21.94s,105802.98
20,100,500000,11,15.78s,23.53s,105413.70
20,100,600000,11,16.42s,24.58s,105362.84
20,100,700000,11,17.07s,25.31s,105229.93
20,100,800000,11,17.32s,25.87s,105484.03
