Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,20000,11,0.98ms,1.99ms,19993.87
20,100,30000,11,1.03ms,2.04ms,29992.02
20,100,50000,11,0.96ms,2.06ms,49986.59
20,100,100000,11,1.14ms,4.28ms,99969.56
20,100,150000,11,2.52ms,105.09ms,148645.67
20,100,200000,11,1.07ms,2.03ms,22664.92
20,100,300000,11,4.40s,5.52s,90882.71
20,100,400000,11,0.00us,0.00us,10269.19
20,100,500000,11,7.51s,8.97s,91749.93
20,100,600000,11,0.00us,0.00us,10295.54
20,100,700000,11,8.97s,10.51s,91099.91
20,100,800000,11,0.00us,0.00us,10240.79
