Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,30000,11,1.04,2.04,29991.65
20,100,30000,11,1.03,2.04,29992.63
20,100,50000,11,0.97,1.96,49986.15
20,100,50000,11,0.97,1.94,49985.91
20,100,100000,11,1.15,3.40,99969.86
20,100,100000,11,1.13,3.23,99969.41
20,100,150000,11,1.11,4.81,149954.78
20,100,150000,11,1.10,4.70,149952.00
20,100,200000,11,1.07,5.84,199936.13
20,100,200000,11,1.07,5.74,199940.31
20,100,300000,11,1.02,9.36,299911.18
20,100,300000,11,1.05,9.13,299913.47
20,100,400000,11,7.09,63.17,399768.83
20,100,400000,11,891.39,2070.53,375848.03
20,100,500000,11,3588.09,6414.34,393827.08
20,100,500000,11,5115.90,7602.18,373941.63
20,100,600000,11,6393.85,10076.16,397696.54
20,100,600000,11,7499.77,11010.05,380201.63
20,100,700000,11,8511.49,13099.01,393221.82
20,100,700000,11,9355.26,13787.14,378384.04
