Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,20000,0.6,0.96ms,1.90ms,19993.58
20,100,30000,0.6,1.02ms,2.01ms,29991.45
20,100,50000,0.6,0.95ms,1.91ms,49986.08
20,100,100000,0.6,1.14ms,3.20ms,99969.06
20,100,150000,0.6,1.10ms,4.97ms,149954.84
20,100,200000,0.6,1.08ms,7.59ms,199937.87
20,100,300000,0.6,1.07ms,10.93ms,299903.26
20,100,400000,0.6,379.14ms,2.09s,373675.98
20,100,500000,0.6,5.63s,7.82s,371622.90
20,100,600000,0.6,7.67s,10.75s,384824.36
20,100,700000,0.6,10.20s,14.02s,372261.39
20,100,800000,0.6,10.84s,15.87s,373697.31
