Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,20000,11,1.02ms,2.04ms,19993.91
20,100,30000,11,1.06ms,2.10ms,29992.52
20,100,50000,11,1.05ms,2.36ms,49986.21
20,100,100000,11,1.75ms,101.12ms,99968.14
20,100,150000,11,6.82s,10.39s,97866.89
20,100,200000,11,10.74s,15.49s,96262.93
20,100,300000,11,13.33s,19.69s,101775.65
20,100,400000,11,14.88s,22.12s,103028.71
20,100,500000,11,15.88s,23.66s,103117.80
20,100,600000,11,16.57s,24.67s,103067.33
20,100,700000,11,17.10s,25.43s,102634.83
20,100,800000,11,17.43s,25.95s,103019.06
