Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,5000,11,1.14,2.53,4999.90
20,100,5000,11,1.05,2.00,4999.92
20,100,10000,11,1.01,2.09,9997.75
20,100,10000,11,1.02,2.08,9997.48
20,100,20000,11,1.36,3.76,19992.47
20,100,20000,11,1.35,3.84,19993.87
20,100,30000,11,2.83,18.25,29989.87
20,100,30000,11,2.77,8.70,29991.44
20,100,40000,11,43.23,146.56,39982.32
20,100,40000,11,74.88,187.26,39920.31
20,100,50000,11,3569.66,4407.30,42530.19
20,100,50000,11,3088.38,4804.61,42333.60
20,100,600000,11,18202.62,27181.06,52581.59
20,100,600000,11,18268.16,27181.06,52514.44
