Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,30000,11,0.99,2.03,29992.16
20,100,50000,11,0.91,1.97,49984.76
20,100,100000,11,1.09,3.29,99969.71
20,100,150000,11,1.09,4.52,149954.16
20,100,200000,11,1.07,6.19,199940.31
20,100,300000,11,1.12,9.96,299903.65
20,100,400000,11,1.45,177.02,397583.21
20,100,500000,11,3934.21,5394.43,412905.70
20,100,600000,11,3119.10,5386.24,492985.95
20,100,700000,11,9584.64,11649.02,429605.39
20,100,800000,11,7491.58,12648.45,462875.62
