Threads,Concurrency,Request,File_k,50th_latency,99th_latency,Throughput
20,100,30000,11,1.03,2.03,29992.43
20,100,30000,11,1.02,2.02,29942.56
20,100,50000,11,0.97,1.95,49985.67
20,100,50000,11,0.98,1.95,49903.82
20,100,100000,11,1.15,3.28,99968.84
20,100,100000,11,1.14,3.35,99969.96
20,100,150000,11,1.11,4.59,149952.89
20,100,150000,11,1.11,4.63,149952.60
20,100,200000,11,1.07,5.91,199612.89
20,100,200000,11,1.08,6.32,199943.07
20,100,300000,11,160.13,436.99,297728.84
20,100,300000,11,699.39,1361.92,289742.33
20,100,400000,11,5091.33,7716.86,297033.66
20,100,400000,11,5500.93,8200.19,291051.11
20,100,500000,11,8237.06,12197.89,295432.94
20,100,500000,11,8364.03,12476.42,291266.84
20,100,600000,11,10084.35,15122.43,295435.13
20,100,600000,11,10436.61,15515.65,288069.78
20,100,700000,11,11468.80,17137.66,297309.87
20,100,700000,11,11714.56,17399.81,290854.09
